token,frequency,total,idf
the,5410552,5940667,0.09347029570777318
in,5187845,5940667,0.13550302726335664
a,5138929,5940667,0.14497672463568392
of,4951783,5940667,0.18207370288921487
is,4619525,5940667,0.251529530677715
and,4566828,5940667,0.263002544623755
to,4132910,5940667,0.3628396572900196
was,3900431,5940667,0.4207343567828205
as,3298941,5940667,0.5882199087536577
by,3284359,5940667,0.5926499131124331
for,3277861,5940667,0.5946303411150952
on,3266858,5940667,0.5979927499110933
with,3081983,5940667,0.6562481956488978
at,3014666,5940667,0.6783323720263409
from,2988117,5940667,0.687177993502366
it,2866357,5940667,0.7287795311322358
an,2813569,5940667,0.7473676324288983
's,2590714,5940667,0.8298879032372771
that,2266275,5940667,0.9636839021671615
also,2191774,5940667,0.9971101550522501
which,2121930,5940667,1.0294953647325664
he,1898355,5940667,1.140833694946308
has,1884767,5940667,1.1480172107999513
first,1870493,5940667,1.15561938414867
his,1816021,5940667,1.1851735726439496
this,1805231,5940667,1.1911328551971279
one,1747082,5940667,1.2238744489751308
were,1690295,5940667,1.2569183467180054
are,1687336,5940667,1.2586704627762657
after,1680646,5940667,1.2626431733184846
who,1674912,5940667,1.2660607900493783
its,1618956,5940667,1.3000399195765724
be,1543033,5940667,1.3480714565718954
two,1541521,5940667,1.349051825287179
had,1522514,5940667,1.3614585006709057
but,1503274,5940667,1.3741760204144648
or,1465208,5940667,1.3998242047197658
new,1417066,5940667,1.4332328797330514
been,1396123,5940667,1.4481223072914995
their,1385671,5940667,1.4556369177801092
not,1341998,5940667,1.4876618683974283
other,1316708,5940667,1.5066867344755892
may,1314804,5940667,1.5081338115417422
have,1285317,5940667,1.530816036102273
born,1282886,5940667,1.532709189194972
during,1282230,5940667,1.5332206670496196
when,1260900,5940667,1.5499956649357987
they,1230283,5940667,1.5745771924123462
all,1208984,5940667,1.592041079165508
into,1201376,5940667,1.5983538500923122
time,1166370,5940667,1.6279250548559636
where,1130178,5940667,1.6594462741900062
there,1123489,5940667,1.6653823948697466
known,1109640,5940667,1.6777857782374315
years,1108840,5940667,1.6785069927939538
over,1075605,5940667,1.708938122662833
only,1072506,5940667,1.7118234504228613
later,1057959,5940667,1.7254798363105757
more,1046675,5940667,1.7362029436290451
between,1035488,5940667,1.7469486034510275
most,1028535,5940667,1.7536859569599974
up,1017748,5940667,1.764229073352957
three,1012262,5940667,1.7696339859940182
part,1007209,5940667,1.7746382772615397
made,999779,5940667,1.7820424410569407
then,984762,5940667,1.7971767080042427
including,963882,5940667,1.8186078151357417
while,933847,5940667,1.8502640823678853
national,932961,5940667,1.8512132962843935
about,932072,5940667,1.8521666306943803
